node_name,load_zone,source
CALAVER_JKS2,LZ_SOUTH,Settlement_Points_03052026
CALLAHA_WND1,LZ_WEST,Settlement_Points_03052026
CAL_CALGT1,LZ_HOUSTON,Settlement_Points_03052026
CAL_CALSTG1,LZ_HOUSTON,Settlement_Points_03052026
CARBN_BSP_1,LZ_WEST,Settlement_Points_03052026
CARRIZO_ESR1,LZ_SOUTH,Settlement_Points_03052026
CARTWHL_RN,LZ_NORTH,Settlement_Points_03052026
CASL_GAP_UN1,LZ_WEST,Settlement_Points_03052026
FWLR_SLR_1,LZ_WEST,Settlement_Points_03052026
CAST_ESS_RN,LZ_HOUSTON,Settlement_Points_03052026
CATARINA_B1,LZ_SOUTH,Settlement_Points_03052026
CBECII_89,LZ_HOUSTON,Settlement_Points_03052026
CBECII_CT7,LZ_HOUSTON,Settlement_Points_03052026
HOLSTEIN_ALL,LZ_WEST,Settlement_Points_03052026
CN_BRKS_UNT1,LZ_WEST,Settlement_Points_03052026
CBY4_ALL,LZ_HOUSTON,Settlement_Points_03052026
CBY_CBY_G2,LZ_HOUSTON,Settlement_Points_03052026
CBY_CBY_G1,LZ_HOUSTON,Settlement_Points_03052026
CCEC_GT1,LZ_SOUTH,Settlement_Points_03052026
CCEC_GT2,LZ_SOUTH,Settlement_Points_03052026
CCEC_PUN2,LZ_SOUTH,Settlement_Points_03052026
CCEC_PUN1,LZ_SOUTH,Settlement_Points_03052026
CCEC_ST1,LZ_SOUTH,Settlement_Points_03052026
WILDWIND_ALL,LZ_NORTH,Settlement_Points_03052026
ELSAUZ_ALL,LZ_SOUTH,Settlement_Points_03052026
BBREEZE_1_2,LZ_SOUTH,Settlement_Points_03052026
HI_LONE_ALL,LZ_WEST,Settlement_Points_03052026
BORDAS_345,LZ_SOUTH,Settlement_Points_03052026
CNTRY_RN,LZ_NORTH,Settlement_Points_03052026
HWF_HWFG1,LZ_WEST,Settlement_Points_03052026
CHAMON_UN1,LZ_HOUSTON,Settlement_Points_03052026
CHAMON_UN2,LZ_HOUSTON,Settlement_Points_03052026
PHOENIX_RN,LZ_NORTH,Settlement_Points_03052026
TOYAH_RN,LZ_WEST,Settlement_Points_03052026
CHISMGRD_RN,LZ_NORTH,Settlement_Points_03052026
CISC_RN,LZ_WEST,Settlement_Points_03052026
CITRUSCY_RN,LZ_SOUTH,Settlement_Points_03052026
CFLAT_ES_RN,LZ_SOUTH,Settlement_Points_03052026
CARN_ESS_RN,LZ_SOUTH,Settlement_Points_03052026
AZURE_RN,LZ_WEST,Settlement_Points_03052026
CACH_ESS_RN,LZ_SOUTH,Settlement_Points_03052026
CLO_RN,LZ_HOUSTON,Settlement_Points_03052026
BTE_PUN2,LZ_HOUSTON,Settlement_Points_03052026
BTE_PUN1,LZ_HOUSTON,Settlement_Points_03052026
CNLY_ESS_RN,LZ_NORTH,Settlement_Points_03052026
JAD_RN,LZ_HOUSTON,Settlement_Points_03052026
CROSSTRL_RN,LZ_WEST,Settlement_Points_03052026
SHANNONW_RN,LZ_WEST,Settlement_Points_03052026
CONTINEN_RN,LZ_SOUTH,Settlement_Points_03052026
CORAZON_RN,LZ_SOUTH,Settlement_Points_03052026
BUCHAN_ALL,LZ_SOUTH,Settlement_Points_03052026
COTULLA_RN,LZ_SOUTH,Settlement_Points_03052026
TRUSGILL_RN,LZ_WEST,Settlement_Points_03052026
CRWN_SLR_UN1,LZ_NORTH,Settlement_Points_03052026
GOLINDA_UN1,LZ_NORTH,Settlement_Points_03052026
CPSES_UNIT1,LZ_NORTH,Settlement_Points_03052026
CPSES_UNIT2,LZ_NORTH,Settlement_Points_03052026
CRAWFISH_RN,LZ_SOUTH,Settlement_Points_03052026
ESTONIAN_ALL,LZ_NORTH,Settlement_Points_03052026
CHAL_SLR_RN,LZ_WEST,Settlement_Points_03052026
CR_RN,LZ_HOUSTON,Settlement_Points_03052026
CST1_SLR_RN,LZ_WEST,Settlement_Points_03052026
CS_RN,LZ_HOUSTON,Settlement_Points_03052026
FTWIND_UNIT1,LZ_NORTH,Settlement_Points_03052026
CTW_RN,LZ_HOUSTON,Settlement_Points_03052026
CVC_CVCG1_5,LZ_HOUSTON,Settlement_Points_03052026
BR_ARROW_ALL,LZ_NORTH,Settlement_Points_03052026
DAG_ALL,LZ_HOUSTON,Settlement_Points_03052026
DAN_ALL,LZ_SOUTH,Settlement_Points_03052026
DA_BESS,LZ_HOUSTON,Settlement_Points_03052026
DA_BESS2,LZ_HOUSTON,Settlement_Points_03052026
DC2SES_ALL,LZ_NORTH,Settlement_Points_03052026
DDPEC_GT1,LZ_HOUSTON,Settlement_Points_03052026
DDPEC_ST1,LZ_HOUSTON,Settlement_Points_03052026
DDPEC_GT4,LZ_HOUSTON,Settlement_Points_03052026
DDPEC_GT2,LZ_HOUSTON,Settlement_Points_03052026
DDPEC_GT3,LZ_HOUSTON,Settlement_Points_03052026
DDPEC_GT6,LZ_HOUSTON,Settlement_Points_03052026
DECKER_GT,LZ_SOUTH,Settlement_Points_03052026
RN_DEC_AGR_A,LZ_NORTH,Settlement_Points_03052026
RN_DEC_AGR_B,LZ_NORTH,Settlement_Points_03052026
RN_DEC_AGR_C,LZ_NORTH,Settlement_Points_03052026
RN_DEC_AGR_D,LZ_NORTH,Settlement_Points_03052026
CHEDPW_GT2,LZ_HOUSTON,Settlement_Points_03052026
STEA_STEAM_1,LZ_NORTH,Settlement_Points_03052026
DESN_ESS_RN,LZ_HOUSTON,Settlement_Points_03052026
DIBOL_RN,LZ_NORTH,Settlement_Points_03052026
DIB_DIB_G1,LZ_HOUSTON,Settlement_Points_03052026
DIB_DIB_G2,LZ_HOUSTON,Settlement_Points_03052026
DIB_DIB_G3,LZ_HOUSTON,Settlement_Points_03052026
DIB_DIB_G4,LZ_HOUSTON,Settlement_Points_03052026
DIB_PUN1,LZ_HOUSTON,Settlement_Points_03052026
DIB_PUN2,LZ_HOUSTON,Settlement_Points_03052026
CAPRIDGE_ALL,LZ_WEST,Settlement_Points_03052026
DILEOS_UNIT1,LZ_NORTH,Settlement_Points_03052026
DMA_RN,LZ_HOUSTON,Settlement_Points_03052026
DERMOTT_ALL,LZ_WEST,Settlement_Points_03052026
FLUVANNA_1_2,LZ_WEST,Settlement_Points_03052026
ENDPARK_ESS1,LZ_WEST,Settlement_Points_03052026
DENISON_G1_2,LZ_NORTH,Settlement_Points_03052026
DORA_SLR_RN,LZ_NORTH,Settlement_Points_03052026
HELIOS_RN,LZ_SOUTH,Settlement_Points_03052026
SNY_BESS_RN,LZ_WEST,Settlement_Points_03052026
PIONR_DJ_RN,LZ_WEST,Settlement_Points_03052026
OWF_OWF,LZ_WEST,Settlement_Points_03052026
DRYFRIO_RN,LZ_SOUTH,Settlement_Points_03052026
DUP_PUN4,LZ_SOUTH,Settlement_Points_03052026
DUP_PUN3,LZ_SOUTH,Settlement_Points_03052026
CBEC_ALL,LZ_SOUTH,Settlement_Points_03052026
TTRSW_RN,LZ_NORTH,Settlement_Points_03052026
MESTENO_RN,LZ_SOUTH,Settlement_Points_03052026
INDNENR_1_RN,LZ_WEST,Settlement_Points_03052026
INDNENR_2_RN,LZ_WEST,Settlement_Points_03052026
MISAE_GEN_RN,LZ_WEST,Settlement_Points_03052026
GRDNE_ESR_RN,LZ_WEST,Settlement_Points_03052026
FREC_1_CCU,LZ_NORTH,Settlement_Points_03052026
W_PECO_UNIT1,LZ_WEST,Settlement_Points_03052026
TI_SOLAR_ALL,LZ_WEST,Settlement_Points_03052026
KNAPP_RN,LZ_WEST,Settlement_Points_03052026
BLACKJAK_RN,LZ_SOUTH,Settlement_Points_03052026
JDKNS_RN,LZ_WEST,Settlement_Points_03052026
PROSPERO_ALL,LZ_WEST,Settlement_Points_03052026
COYANOSA_RN,LZ_WEST,Settlement_Points_03052026
DOW_G96_ST95,LZ_HOUSTON,Settlement_Points_03052026
DGFS_ESR_RN,LZ_WEST,Settlement_Points_03052026
LYNX_ESS_RN,LZ_SOUTH,Settlement_Points_03052026
DRCK_SLR_RN,LZ_NORTH,Settlement_Points_03052026
DOW_81_2_84,LZ_HOUSTON,Settlement_Points_03052026
DOW_G37_G35,LZ_HOUSTON,Settlement_Points_03052026
LAMESASLR_G,LZ_WEST,Settlement_Points_03052026
LGDRAW_S_ALL,LZ_WEST,Settlement_Points_03052026
ALP_BESS_RN,LZ_WEST,Settlement_Points_03052026
EXN_1_3,LZ_HOUSTON,Settlement_Points_03052026
LACASAWD_RN,LZ_WEST,Settlement_Points_03052026
GALO_RN1,LZ_WEST,Settlement_Points_03052026
PALMWI_UNIT1,LZ_SOUTH,Settlement_Points_03052026
PAR_RN,LZ_HOUSTON,Settlement_Points_03052026
EXN_14,LZ_HOUSTON,Settlement_Points_03052026
SIRIUS_UNIT1,LZ_WEST,Settlement_Points_03052026
RN_RTS1,LZ_WEST,Settlement_Points_03052026
SOLARA_UNIT1,LZ_WEST,Settlement_Points_03052026
DSWL_BES1,LZ_NORTH,Settlement_Points_03052026
GRANDVW1_A_B,LZ_WEST,Settlement_Points_03052026
AVIL_ESS_RN,LZ_WEST,Settlement_Points_03052026
LASSO_GEN,LZ_WEST,Settlement_Points_03052026
REROCK_ALL,LZ_WEST,Settlement_Points_03052026
CABEZON_ALL,LZ_SOUTH,Settlement_Points_03052026
BCATWD_WD_1,LZ_WEST,Settlement_Points_03052026
BCNV_RN,LZ_HOUSTON,Settlement_Points_03052026
BLSMT1_5_A_6,LZ_WEST,Settlement_Points_03052026
PRID_RN,LZ_NORTH,Settlement_Points_03052026
RN_BYU_G8,LZ_HOUSTON,Settlement_Points_03052026
BYU_PUN1,LZ_HOUSTON,Settlement_Points_03052026
BYU_PUN2,LZ_HOUSTON,Settlement_Points_03052026
BYU_PUN3,LZ_HOUSTON,Settlement_Points_03052026
BYU_PUN4,LZ_HOUSTON,Settlement_Points_03052026
CEDROHI_CHW1,LZ_SOUTH,Settlement_Points_03052026
BIGSTAR_ALL,LZ_SOUTH,Settlement_Points_03052026
HRNT_SLR_RN,LZ_WEST,Settlement_Points_03052026
AMAD_ESS_RN,LZ_NORTH,Settlement_Points_03052026
DOW_G66_ST65,LZ_HOUSTON,Settlement_Points_03052026
DOWGEN_PUN1,LZ_HOUSTON,Settlement_Points_03052026
DOWGEN_PUN2,LZ_HOUSTON,Settlement_Points_03052026
DOWGEN_PUN3,LZ_HOUSTON,Settlement_Points_03052026
DOWGEN_PUN4,LZ_HOUSTON,Settlement_Points_03052026
DOWGEN_PUN5,LZ_HOUSTON,Settlement_Points_03052026
DOWGEN_PUN6,LZ_HOUSTON,Settlement_Points_03052026
GODY_SLR_RN,LZ_NORTH,Settlement_Points_03052026
TC_TCHP1,LZ_HOUSTON,Settlement_Points_03052026
ELB_ELBCREEK,LZ_WEST,Settlement_Points_03052026
STEAM_ENG123,LZ_NORTH,Settlement_Points_03052026
STELLA_RN,LZ_SOUTH,Settlement_Points_03052026
FERGCC_GT1_1,LZ_SOUTH,Settlement_Points_03052026
FERGCC_GT2_3,LZ_SOUTH,Settlement_Points_03052026
FERGCC_ST1_5,LZ_SOUTH,Settlement_Points_03052026
TAHOKA_ALL,LZ_WEST,Settlement_Points_03052026
CONIGLIO_RN,LZ_NORTH,Settlement_Points_03052026
GWEC_G1,LZ_NORTH,Settlement_Points_03052026
GZ_RN,LZ_HOUSTON,Settlement_Points_03052026
HEN_RN,LZ_HOUSTON,Settlement_Points_03052026
HHOLLW3_WND1,LZ_WEST,Settlement_Points_03052026
HLY_RN,LZ_HOUSTON,Settlement_Points_03052026
KEECHI_U1,LZ_NORTH,Settlement_Points_03052026
EMPCT_RN,LZ_NORTH,Settlement_Points_03052026
HHGT_KENDAL,LZ_SOUTH,Settlement_Points_03052026
STAR_SLR_RN,LZ_SOUTH,Settlement_Points_03052026
MLB_SLR_RN,LZ_WEST,Settlement_Points_03052026
LV5_UNIT1,LZ_SOUTH,Settlement_Points_03052026
EXGNWTL_1,LZ_SOUTH,Settlement_Points_03052026
REDFISH_ALL,LZ_SOUTH,Settlement_Points_03052026
SWT_BESS_RN,LZ_WEST,Settlement_Points_03052026
WOODWRD1_RN,LZ_WEST,Settlement_Points_03052026
KARAKAW1_1,LZ_SOUTH,Settlement_Points_03052026
KARAKAW2_1,LZ_SOUTH,Settlement_Points_03052026
LV1A_LV1B,LZ_SOUTH,Settlement_Points_03052026
MIRASOLE_GEN,LZ_SOUTH,Settlement_Points_03052026
MDWPK_RN,LZ_NORTH,Settlement_Points_03052026
MOZART_WIND1,LZ_WEST,Settlement_Points_03052026
NCARBIDEG8,LZ_SOUTH,Settlement_Points_03052026
NCARBIDE_1_7,LZ_SOUTH,Settlement_Points_03052026
PANDA_T2_ST1,LZ_NORTH,Settlement_Points_03052026
PANDA_T2_CT2,LZ_NORTH,Settlement_Points_03052026
PANDA_T2_CT1,LZ_NORTH,Settlement_Points_03052026
ASTRA_RN,LZ_WEST,Settlement_Points_03052026
WH_WIND_ALL,LZ_WEST,Settlement_Points_03052026
ANACACHO_ANA,LZ_SOUTH,Settlement_Points_03052026
COTTON_PAP2,LZ_SOUTH,Settlement_Points_03052026
PEARSA_1_24,LZ_SOUTH,Settlement_Points_03052026
PENA_ALL,LZ_SOUTH,Settlement_Points_03052026
PTLBES_BESS1,LZ_SOUTH,Settlement_Points_03052026
BR_VHB6CT5_6,LZ_SOUTH,Settlement_Points_03052026
REDGATE_RN,LZ_SOUTH,Settlement_Points_03052026
SCES_UNIT1,LZ_NORTH,Settlement_Points_03052026
VERTIGO_UN1,LZ_WEST,Settlement_Points_03052026
SEVNF_ES_RN,LZ_SOUTH,Settlement_Points_03052026
CARA_ESS_RN,LZ_SOUTH,Settlement_Points_03052026
STRATEGC_RN,LZ_NORTH,Settlement_Points_03052026
SENATEWD_1,LZ_WEST,Settlement_Points_03052026
SSPURT_WIND1,LZ_WEST,Settlement_Points_03052026
MONTECR1_RN,LZ_SOUTH,Settlement_Points_03052026
AEEC,LZ_WEST,Settlement_Points_03052026
WZRD_ESS_RN,LZ_HOUSTON,Settlement_Points_03052026
V4_DGR1_RN,LZ_SOUTH,Settlement_Points_03052026
BR_VHB6CT7_8,LZ_SOUTH,Settlement_Points_03052026
HRFDWIND_ALL,LZ_WEST,Settlement_Points_03052026
MESQCRK_ALL,LZ_WEST,Settlement_Points_03052026
SRWE1_UNIT1,LZ_WEST,Settlement_Points_03052026
RN_OCI_ALAMO,LZ_SOUTH,Settlement_Points_03052026
BEXAR_ES_RN,LZ_SOUTH,Settlement_Points_03052026
PRCRK_RN,LZ_NORTH,Settlement_Points_03052026
ECLIPSE_UN1,LZ_SOUTH,Settlement_Points_03052026
RN_TOSBATT,LZ_WEST,Settlement_Points_03052026
PANDA_S_ST1,LZ_NORTH,Settlement_Points_03052026
PANDA_S_CT1,LZ_NORTH,Settlement_Points_03052026
